Order_ID,Order_Date,Customer_ID,Region,Product_Category,Product_Name,Quantity,Unit_Price,Total_Sales
ORD053,28/02/2025,C014,Timur,Olahraga,Bola,1,1630714,1630714
ORD054,22/01/2025,C058,barat,Home & Living,Lampu,1,3138591,3138591
ORD055,10/5/2025,C016,Barat,Elektronik,Tablet,1,837841,837841
ORD056,22/02/2025,C097,TIMUR,Olahraga,Bola,5,2745681,13728405
ORD057,29/06/2025,C043,Utara,Elektronik,Tablet,2,1794744,3589488
ORD058,17/03/2025,C049,Selatan,Olahraga,Bola,3,3710433,11131299
ORD059,17/04/2025,C067,Timur,Kecantikan,Parfum,2,531185,1062370
ORD060,5/4/2025,C103,Tengah,Olahraga,Sepeda,5,3284468,16422340
ORD061,1/3/2025,C119,TIMUR,Olahraga,Dumbbell,2,3859967,7719934
ORD062,27/03/2025,C023,Utara,Fashion,Kaos,1,1567557,1567557
ORD063,5/6/2025,C098,Timur,Olahraga,Dumbbell,1,4716261,4716261
ORD064,21/03/2025,C087,TIMUR,Kecantikan,Lipstick,4,239131,956524
ORD065,2/13/2025,C093,TIMUR,Olahraga,Dumbbell,5,1705422,8527110
ORD066,21/04/2025,C020,Selatan,Olahraga,Dumbbell,5,1993978,9969890
ORD067,19/03/2025,C098,Utara,Fashion,Tas,1,809392,809392
ORD068,30/04/2025,C046,barat,Elektronik,Smartphone,3,2852983,8558949
ORD069,3/1/2025,C084,barat,Home & Living,Kursi,5,4471223,22356115
ORD070,22/06/2025,C107,TIMUR,Home & Living,Meja,4,1254947,5019788
ORD071,27/02/2025,C092,Barat,Olahraga,Bola,1,1987417,1987417
ORD072,8/3/2025,C068,Timur,Olahraga,Treadmill,4,504299,2017196
ORD073,4/8/2025,C095,TIMUR,Fashion,Jaket,4,4639088,18556352
ORD074,17/04/2025,C060,TIMUR,Olahraga,Treadmill,1,3123896,3123896
ORD075,9/6/2025,C089,Barat,Olahraga,Dumbbell,1,4391903,4391903
ORD076,19/02/2025,C005,barat,Elektronik,Tablet,5,4215333,21076665
ORD077,15/03/2025,C030,Tengah,Kecantikan,Parfum,3,2395788,7187364
ORD078,25/05/2025,C082,Timur,Elektronik,Tablet,,223488,223488
ORD079,21/03/2025,C081,Utara,Home & Living,Karpet,2,3764531,7529062
ORD080,17/01/2025,C083,Timur,Home & Living,,2,3885787,7771574
ORD081,13/02/2025,C096,Timur,Fashion,Jaket,1,1807544,1807544
ORD082,21/06/2025,C117,Barat,Elektronik,Laptop,5,1954283,9771415
ORD083,19/04/2025,C056,barat,Kecantikan,Lipstick,4,1569399,6277596
ORD084,9/6/2025,C025,Tengah,Home & Living,Karpet,1,204703,204703
ORD085,10/5/2025,C075,barat,Fashion,Tas,2,12349210,24698420
ORD086,17/01/2025,C069,Timur,Kecantikan,Parfum,1,3596921,3596921
ORD087,22/01/2025,C048,Tengah,Kecantikan,Parfum,2,1920356,3840712
ORD088,29/06/2025,C032,Tengah,Elektronik,Smartphone,5,12129430,60647150
ORD089,5/5/2025,C067,TIMUR,Home & Living,Karpet,,1806120,9030600
ORD090,9/2/2025,C039,TIMUR,Kecantikan,Skincare,5,1758450,8792250
ORD091,12/3/2025,C017,Utara,Home & Living,Lampu,4,202929,811716
ORD092,8/5/2025,C083,Utara,Fashion,Jaket,5,4759092,23795460
ORD093,5/3/2025,C036,barat,Home & Living,Lampu,1,4002666,4002666
ORD094,2/2/2025,C111,Tengah,Kecantikan,Skincare,5,952055,4760275
ORD095,30/05/2025,C112,Selatan,Fashion,Tas,1,881672,881672
ORD096,11/6/2025,C027,Timur,Elektronik,Tablet,,3617839,10853517
ORD097,21/01/2025,C038,Selatan,Fashion,Jaket,2,2680420,5360840
ORD098,17/03/2025,C057,Timur,Kecantikan,Skincare,2,3724695,7449390
ORD099,2/6/2025,C098,Utara,Elektronik,Laptop,3,2509737,7529211
ORD100,2/15/2025,C012,Timur,Fashion,Sepatu,5,1289548,6447740
ORD101,27/06/2025,C115,barat,Olahraga,Bola,5,4343308,
ORD102,14/02/2025,C064,TIMUR,Olahraga,,5,16098535,80492675
ORD103,27/02/2025,C003,Timur,Kecantikan,Masker Wajah,3,1240065,3720195
ORD104,30/06/2025,C049,Barat,Home & Living,Karpet,4,348089,1392356
ORD105,20/02/2025,C026,Timur,Kecantikan,Masker Wajah,,920466,2761398
ORD106,2/1/2025,C105,barat,Home & Living,,3,1619671,4859013
ORD107,7/5/2025,C047,Timur,Kecantikan,Lipstick,5,2654102,13270510
ORD108,26/01/2025,C067,Utara,Elektronik,Laptop,4,1507048,6028192
ORD109,1/8/2025,C028,Barat,Kecantikan,Skincare,3,2460035,7380105
ORD110,9/3/2025,C120,Selatan,Kecantikan,Masker Wajah,5,424947,2124735
ORD111,11/3/2025,C018,barat,Olahraga,Bola,2,212187,424374
ORD112,4/4/2025,C116,Tengah,Home & Living,Kursi,3,2762037,
ORD113,19/06/2025,C118,Tengah,Home & Living,Meja,5,2858778,14293890
ORD114,6/5/2025,C038,Utara,Olahraga,Treadmill,4,3033069,12132276
ORD115,7/5/2025,C028,Tengah,Elektronik,Headphone,3,1038269,3114807
ORD116,23/04/2025,C023,Barat,Elektronik,Tablet,1,3670866,3670866
ORD117,5/18/2025,C055,Timur,Elektronik,Smartphone,1,2110625,2110625
ORD118,18/05/2025,C057,TIMUR,Kecantikan,Skincare,3,594011,1782033
ORD119,17/01/2025,C111,TIMUR,Kecantikan,Masker Wajah,4,,2022944
ORD120,19/05/2025,C015,Selatan,Elektronik,Headphone,5,507694,2538470
ORD121,1/4/2025,C060,Selatan,Olahraga,Treadmill,5,1751396,8756980
ORD122,20/01/2025,C067,Tengah,Home & Living,Kursi,3,4162645,12487935
ORD123,5/28/2025,C028,barat,Home & Living,Kursi,5,4109013,20545065
ORD124,5/3/2025,C067,Timur,Kecantikan,,5,3632619,18163095
ORD125,27/01/2025,C025,Selatan,Home & Living,Meja,3,1180267,3540801
ORD126,18/05/2025,C087,Barat,Kecantikan,Masker Wajah,4,2642496,10569984
ORD127,14/01/2025,C041,Utara,Elektronik,Laptop,2,3941835,7883670
ORD128,21/05/2025,C054,Selatan,Elektronik,Headphone,1,147897,147897
ORD129,17/03/2025,C018,Timur,Olahraga,Treadmill,,24207491,121037455
ORD130,16/04/2025,C033,TIMUR,Kecantikan,Lipstick,3,1643834,4931502
ORD131,14/02/2025,C092,Utara,Home & Living,,1,3189080,3189080
ORD132,11/1/2025,C029,Selatan,Fashion,Sepatu,,4544558,9089116
ORD133,2/5/2025,C049,TIMUR,Fashion,Kaos,2,350820,701640
ORD134,5/1/2025,C114,Utara,Olahraga,Treadmill,3,364495,1093485
ORD135,3/3/2025,C112,Utara,Kecantikan,,4,202063,808252
ORD136,12/2/2025,C061,Selatan,Elektronik,Tablet,4,4352239,17408956
ORD137,24/03/2025,C021,Selatan,Home & Living,Kursi,3,2516891,7550673
ORD138,7/6/2025,C014,Tengah,Kecantikan,Skincare,2,2722464,5444928
ORD139,2/1/2025,C008,TIMUR,Kecantikan,Parfum,5,2396123,11980615
ORD140,11/3/2025,C003,TIMUR,Elektronik,Tablet,1,4478620,4478620
ORD141,29/01/2025,C038,Selatan,Elektronik,Tablet,5,2772347,13861735
ORD142,26/01/2025,C011,Timur,Olahraga,Bola,2,2263062,4526124
ORD143,30/05/2025,C010,Barat,Olahraga,Sepeda,3,1262385,3787155
ORD144,21/02/2025,C055,TIMUR,Fashion,Jaket,3,3430870,10292610
ORD145,4/5/2025,C001,Utara,Home & Living,Karpet,4,673019,2692076
ORD146,7/4/2025,C026,Selatan,Kecantikan,,4,4809446,
ORD147,22/02/2025,C057,Timur,Elektronik,Smartphone,5,4277993,21389965
ORD148,13/02/2025,C107,Barat,Elektronik,Laptop,2,341464,682928
ORD149,12/4/2025,C079,Timur,Elektronik,Smartphone,5,2859556,14297780
ORD150,27/06/2025,C075,Timur,Home & Living,Lampu,2,400528,801056
ORD151,22/03/2025,C051,TIMUR,Olahraga,Dumbbell,4,2222101,8888404
ORD152,12/1/2025,C036,Timur,Kecantikan,Parfum,2,1031494,2062988
ORD153,27/01/2025,C007,Selatan,Olahraga,Treadmill,4,4954238,19816952
ORD154,28/06/2025,C086,barat,Fashion,Tas,2,3588027,7176054
ORD155,30/06/2025,C109,Selatan,Home & Living,Lampu,,3018730,9056190
ORD156,4/5/2025,C108,Timur,Fashion,Tas,3,1034430,3103290
ORD157,6/24/2025,C039,Timur,Olahraga,Sepeda,5,155716,778580
ORD158,24/06/2025,C002,Tengah,Kecantikan,Lipstick,4,2113656,8454624
ORD159,5/6/2025,C107,Utara,Kecantikan,Skincare,,4016875,4016875
ORD160,5/18/2025,C055,TIMUR,Home & Living,Meja,5,,15434555
ORD161,1/4/2025,C104,Utara,Fashion,Jaket,2,577109,1154218
ORD162,12/1/2025,C083,Selatan,Kecantikan,,5,2869174,14345870
ORD163,16/02/2025,C030,TIMUR,Fashion,Sepatu,3,3777693,11333079
ORD164,25/01/2025,C006,barat,Elektronik,Tablet,,1769364,1769364
ORD165,22/02/2025,C066,barat,Fashion,Tas,4,14362579,57450316
ORD166,28/06/2025,C022,TIMUR,Home & Living,Lampu,1,1862054,1862054
ORD167,25/06/2025,C033,TIMUR,Fashion,Kaos,4,4083458,16333832
ORD168,4/3/2025,C010,Barat,Kecantikan,Skincare,4,1573885,6295540
ORD169,15/03/2025,C100,Tengah,Kecantikan,Lipstick,4,873611,3494444
ORD170,3/2/2025,C058,Barat,Olahraga,Dumbbell,4,24859160,99436640
ORD171,9/3/2025,C067,Selatan,Fashion,Sepatu,4,533523,2134092
ORD172,21/06/2025,C027,Timur,Olahraga,Dumbbell,2,1923541,3847082
ORD173,12/2/2025,C118,barat,Fashion,Sepatu,1,488793,488793
ORD174,2/4/2025,C070,Tengah,Elektronik,Laptop,1,687117,687117
ORD175,30/03/2025,C070,TIMUR,Fashion,,4,3441953,13767812
ORD176,29/03/2025,C042,TIMUR,Fashion,Kaos,3,2630641,7891923
ORD177,13/01/2025,C067,Barat,Kecantikan,Masker Wajah,1,331479,331479
ORD178,1/5/2025,C064,Timur,Fashion,Jaket,3,465018,1395054
ORD179,9/2/2025,C053,Tengah,Elektronik,Smartphone,4,898839,3595356
ORD180,4/14/2025,C054,TIMUR,Olahraga,Sepeda,5,2343273,11716365
ORD181,3/23/2025,C041,Timur,Olahraga,Bola,4,2719831,10879324
ORD182,4/4/2025,C080,Timur,Elektronik,,4,3059836,12239344
ORD183,19/03/2025,C077,barat,Fashion,Kaos,5,90469,452345
ORD184,16/04/2025,C092,Timur,Home & Living,Karpet,1,4602907,4602907
ORD185,18/01/2025,C099,Tengah,Olahraga,Sepeda,5,3169560,15847800
ORD186,31/05/2025,C081,Barat,Olahraga,Sepeda,3,3911440,11734320
ORD187,27/02/2025,C083,barat,Elektronik,Smartphone,3,773005,2319015
ORD188,26/01/2025,C011,TIMUR,Fashion,Tas,5,,7034375
ORD189,16/03/2025,C038,Barat,Home & Living,Lampu,1,1109315,1109315
ORD190,10/1/2025,C118,TIMUR,Fashion,Jaket,2,1808405,3616810
ORD191,21/04/2025,C007,Utara,Olahraga,Sepeda,1,1034093,1034093
ORD192,5/1/2025,C113,Timur,Elektronik,Headphone,3,184973,554919
ORD193,25/03/2025,C018,Barat,Elektronik,Tablet,3,1342524,4027572
ORD194,4/1/2025,C061,Barat,Elektronik,Laptop,4,1969368,
ORD195,9/3/2025,C100,Timur,Fashion,Sepatu,1,18044474,18044474
ORD196,6/18/2025,C059,TIMUR,Kecantikan,Masker Wajah,4,3484660,13938640
ORD197,7/1/2025,C045,Timur,Elektronik,Headphone,3,4933646,14800938
ORD198,4/3/2025,C005,Timur,Fashion,Kaos,3,836094,2508282
ORD199,20/06/2025,C047,Selatan,Fashion,Kaos,5,3505802,17529010
ORD200,8/2/2025,C059,Barat,Olahraga,Dumbbell,3,,11855490
ORD201,3/10/2025,C092,barat,Elektronik,Smartphone,5,613703,3068515
ORD202,16/04/2025,C036,barat,Home & Living,Kursi,2,490829,981658
ORD203,29/03/2025,C078,Timur,Fashion,Tas,1,3065723,
ORD204,9/5/2025,C090,Timur,Home & Living,Kursi,2,1794406,3588812
ORD205,16/01/2025,C033,barat,Olahraga,Sepeda,5,3608713,
ORD206,29/04/2025,C086,Tengah,Kecantikan,Parfum,4,2651525,10606100
ORD207,27/01/2025,C087,Timur,Fashion,Jaket,4,653928,2615712
ORD208,27/02/2025,C053,Timur,Kecantikan,Lipstick,5,986548,4932740
ORD209,14/02/2025,C009,TIMUR,Elektronik,Laptop,4,1527030,6108120
ORD210,5/5/2025,C015,Tengah,Olahraga,,5,3911224,
ORD211,28/02/2025,C075,Tengah,Elektronik,Laptop,5,4508283,22541415
ORD032,14/03/2025,C025,Selatan,Olahraga,Bola,1,4293776,4293776
ORD213,22/03/2025,C028,Utara,Elektronik,Smartphone,4,161071,644284
ORD214,28/03/2025,C031,TIMUR,Kecantikan,Masker Wajah,1,1668900,1668900
ORD215,1/13/2025,C091,barat,Fashion,Jaket,4,4450724,17802896
ORD216,1/19/2025,C011,Timur,Kecantikan,Masker Wajah,1,174748,174748
ORD217,25/05/2025,C084,Timur,Home & Living,Lampu,5,484145,2420725
ORD218,16/02/2025,C004,TIMUR,Home & Living,Lampu,1,1568934,1568934
ORD042,25/04/2025,C069,Tengah,Olahraga,Treadmill,1,1804525,1804525
ORD220,19/05/2025,C038,Barat,Elektronik,Laptop,2,925012,1850024
ORD221,4/21/2025,C057,barat,Elektronik,Smartphone,5,1742250,
ORD222,19/06/2025,C084,Barat,Kecantikan,Skincare,4,2061681,8246724
ORD223,24/05/2025,C011,Tengah,Home & Living,Kursi,3,871398,2614194
ORD224,23/02/2025,C031,TIMUR,Home & Living,Kursi,4,3631221,14524884
ORD225,3/20/2025,C058,TIMUR,Fashion,Tas,5,3836160,19180800
ORD226,12/3/2025,C072,Tengah,Fashion,Jaket,5,2837297,14186485
ORD227,18/05/2025,C016,Timur,Elektronik,Tablet,4,4911983,19647932
ORD228,8/2/2025,C077,barat,Kecantikan,Lipstick,2,4008152,8016304
ORD229,6/4/2025,C032,Utara,Olahraga,Treadmill,1,417837,417837
ORD230,20/04/2025,C060,TIMUR,Home & Living,Karpet,5,4936609,24683045
ORD231,5/6/2025,C069,Tengah,Olahraga,Sepeda,5,2719261,13596305
ORD232,15/04/2025,C050,Barat,Home & Living,Kursi,5,2732683,13663415
ORD233,18/02/2025,C066,TIMUR,Kecantikan,Masker Wajah,1,3034679,3034679
ORD234,4/10/2025,C038,Selatan,Fashion,Sepatu,2,1367035,2734070
ORD235,12/6/2025,C088,Utara,Kecantikan,Parfum,2,1875756,3751512
ORD236,18/06/2025,C073,barat,Elektronik,Laptop,3,,10358079
ORD237,8/3/2025,C039,Barat,Kecantikan,Lipstick,5,3540890,17704450
ORD238,6/28/2025,C101,Timur,Fashion,Tas,1,3424796,3424796
ORD239,3/6/2025,C118,Barat,Home & Living,Kursi,5,739170,3695850
ORD240,7/3/2025,C109,Barat,Fashion,,3,4820241,14460723
ORD241,10/2/2025,C043,TIMUR,Elektronik,Laptop,5,1168680,5843400
ORD242,26/02/2025,C113,barat,Kecantikan,Masker Wajah,2,1838864,3677728
ORD243,23/05/2025,C050,Utara,Fashion,Tas,2,423355,846710
ORD244,3/4/2025,C024,Timur,Olahraga,Bola,2,1335652,2671304
ORD245,5/21/2025,C110,Tengah,Olahraga,Bola,5,1761837,8809185
ORD246,20/03/2025,C069,TIMUR,Home & Living,Meja,2,181502,
ORD247,23/04/2025,C028,Barat,Home & Living,Kursi,1,4498081,4498081
ORD248,20/03/2025,C084,Selatan,Kecantikan,Parfum,2,1052861,2105722
ORD249,22/04/2025,C081,Utara,Elektronik,Smartphone,4,1734490,6937960
ORD250,15/03/2025,C087,Tengah,Olahraga,Treadmill,5,2764188,13820940
ORD251,25/01/2025,C100,Tengah,Home & Living,Meja,4,876466,3505864
ORD252,27/06/2025,C017,Selatan,Kecantikan,Masker Wajah,2,1161017,2322034
ORD253,30/06/2025,C002,Timur,Elektronik,Laptop,2,373097,746194
ORD254,17/01/2025,C073,Barat,Home & Living,Meja,4,1099225,
ORD255,21/06/2025,C093,barat,Home & Living,Kursi,3,2831523,8494569
ORD256,21/03/2025,C016,Selatan,Elektronik,Laptop,5,2170129,10850645
ORD257,2/2/2025,C056,Barat,Olahraga,Dumbbell,5,1907707,9538535
ORD258,1/6/2025,C018,Barat,Olahraga,Bola,4,2421031,9684124
ORD259,6/3/2025,C036,TIMUR,Elektronik,Smartphone,5,3626029,18130145
ORD260,10/3/2025,C038,Timur,Olahraga,Bola,1,1828234,1828234
ORD261,4/6/2025,C035,TIMUR,Elektronik,Laptop,4,2802923,
ORD262,14/02/2025,C093,TIMUR,Home & Living,,2,2764931,5529862
ORD263,16/02/2025,C067,Tengah,Home & Living,Meja,5,22420308,112101540
ORD264,19/01/2025,C112,Tengah,Fashion,,4,4295944,17183776
ORD265,19/02/2025,C025,barat,Home & Living,Kursi,5,3754287,18771435
ORD266,27/01/2025,C046,Barat,Kecantikan,Parfum,3,4500994,13502982
ORD267,25/01/2025,C016,TIMUR,Kecantikan,Lipstick,1,2508882,2508882
ORD012,1/5/2025,C011,barat,Elektronik,Smartphone,4,4352084,17408336
ORD269,5/18/2025,C076,Barat,Fashion,Sepatu,3,,12391677
ORD270,10/4/2025,C071,Barat,Home & Living,Meja,2,1094289,2188578
ORD271,6/4/2025,C082,Tengah,Elektronik,Tablet,1,2965282,2965282
ORD272,3/5/2025,C010,Selatan,Kecantikan,Parfum,2,470748,941496
ORD273,3/26/2025,C080,Tengah,Olahraga,Sepeda,1,818865,818865
ORD274,4/17/2025,C028,TIMUR,Olahraga,Bola,3,731243,2193729
ORD275,2/3/2025,C064,TIMUR,Olahraga,Treadmill,3,2246894,6740682
ORD276,1/7/2025,C028,Utara,Elektronik,,3,1361048,4083144
ORD277,9/5/2025,C098,Timur,Fashion,Tas,1,2381941,2381941
ORD278,12/4/2025,C116,Tengah,Elektronik,Laptop,5,600665,3003325
ORD279,14/06/2025,C097,Tengah,Home & Living,Meja,5,2073443,10367215
ORD280,25/02/2025,C017,Selatan,Olahraga,Sepeda,4,2149113,8596452
ORD281,11/6/2025,C094,Utara,Home & Living,Meja,3,2600918,7802754
ORD282,29/03/2025,C105,Selatan,Home & Living,Karpet,3,1257227,
ORD283,28/06/2025,C108,Tengah,Fashion,Jaket,,3950146,19750730
ORD284,18/02/2025,C014,Selatan,Home & Living,Karpet,1,4907671,4907671
ORD285,15/03/2025,C057,barat,Elektronik,Tablet,3,1842400,5527200
ORD286,7/4/2025,C100,Utara,Olahraga,Dumbbell,4,4093394,
ORD287,6/5/2025,C059,TIMUR,Fashion,Kaos,5,1440453,7202265
ORD288,21/04/2025,C090,Timur,Home & Living,Meja,4,3287549,13150196
ORD289,27/05/2025,C082,barat,Fashion,Jaket,3,4451432,13354296
ORD290,1/1/2025,C069,Barat,Olahraga,Dumbbell,5,1967387,9836935
ORD291,15/06/2025,C011,barat,Fashion,,2,784122,1568244
ORD292,23/04/2025,C104,Tengah,Kecantikan,Masker Wajah,2,1553924,3107848
ORD293,18/02/2025,C119,Barat,Home & Living,Lampu,3,400309,1200927
ORD294,31/01/2025,C040,TIMUR,Elektronik,Tablet,3,3592474,10777422
ORD295,9/2/2025,C015,TIMUR,Fashion,Jaket,4,4119326,16477304
ORD296,12/6/2025,C067,Utara,Fashion,Kaos,4,2155190,8620760
ORD297,27/04/2025,C066,Selatan,Fashion,Sepatu,2,1759208,3518416
ORD298,31/05/2025,C089,TIMUR,Fashion,Tas,2,4599455,9198910
ORD299,11/3/2025,C072,Barat,Home & Living,Lampu,5,58778,293890
ORD300,30/05/2025,C025,barat,Olahraga,,4,2813686,11254744
